Date,Open,High,Low,Close,Volume
06/23/2023,"122.04","123.44","121.86","123.02","29,573,119"
06/22/2023,"120.66","123.94","119.60","123.87","20,781,891"
06/21/2023,"123.24","123.41","120.86","121.26","22,612,000"
06/20/2023,"123.54","125.18","122.83","123.85","22,698,029"
06/16/2023,"126.70","126.70","123.79","124.06","56,699,199"
06/15/2023,"123.88","126.16","123.14","125.79","24,517,070"
06/14/2023,"123.80","124.79","122.16","124.38","24,659,619"
06/13/2023,"125.65","125.86","123.85","124.43","19,287,650"
06/12/2023,"123.40","124.75","122.35","124.35","22,289,631"
06/09/2023,"122.56","124.29","122.42","122.87","20,313,680"
06/08/2023,"122.59","123.73","122.01","122.67","24,815,000"
06/07/2023,"127.58","129.55","122.63","122.94","34,179,352"
06/06/2023,"126.60","128.88","125.97","127.91","19,450,131"
06/05/2023,"124.61","127.99","124.38","126.63","22,672,520"
06/02/2023,"124.49","126.75","124.35","125.23","19,367,449"
06/01/2023,"123.50","125.04","123.30","124.37","25,017,670"
05/31/2023,"123.70","124.90","123.10","123.37","41,548,762"
05/30/2023,"126.29","126.38","122.89","124.64","27,230,730"
05/26/2023,"124.07","126.00","123.29","125.43","25,169,039"
05/25/2023,"125.21","125.98","122.90","124.35","33,812,727"
05/24/2023,"121.88","122.75","120.75","121.64","23,087,930"
